"ID","Length","Diameter","Image","Material","Holes","Price"
"DT001",350,"M10x1","dt_aluminium.jpg","Aluminum",3,"3,5"
"DT002",1300,"M10x1","dt_aluminium.jpg","Aluminum",3,"5"
"DT003",350,"M10x0,75","dt_aluminium.jpg","Aluminum",3,"3,5"
"DT004",1300,"M10x0,75","dt_aluminium.jpg","Aluminum",3,"5"
"DT005",350,"M10x1","dt_steel.jpg","Steel",3,"3,5"
"DT006",1500,"M10x1","dt_steel.jpg","Steel",3,"5,5"
"DT007",350,"M10x0,75","dt_steel.jpg","Steel",3,"3,5"
"DT008",1300,"M10x0,75","dt_steel.jpg","Steel",3,"5"
"DT009",350,"M10x1","dt_polyethylene.jpg","Polyethylene",3,"3,5"
"DT010",1500,"M10x1","dt_polyethylene.jpg","Polyethylene",3,"5,5"
"DT011",350,"M10x0,75","dt_polyethylene.jpg","Polyethylene",3,"3,5"
"DT012",1300,"M10x0,75","dt_polyethylene.jpg","Polyethylene",3,"5"
"DT013",1300,"M10x1","dt_aluminium.jpg","Aluminum","none  x CO2","5"
"DT014",1300,"M10x0,75","dt_aluminium.jpg","Aluminum","none  x CO2","5"
